tempo,PWM,RPM
8.439,119.439,1380.0
8.449,119.507,1380.0
8.459,119.575,1380.0
8.469,103.974,1410.0
8.479,103.94,1410.0
8.489,119.575,1380.0
8.499,119.643,1380.0
8.509,104.042,1410.0
8.519,104.008,1410.0
8.529,119.643,1380.0
8.539,119.711,1380.0
8.549,104.11,1410.0
8.559,104.076,1410.0
8.569,119.711,1380.0
8.579,119.779,1380.0
8.589,104.178,1410.0
8.599,104.144,1410.0
8.609,119.779,1380.0
8.62,119.847,1380.0
8.629,104.246,1410.0
8.639,104.212,1410.0
8.649,119.847,1380.0
8.659,119.915,1380.0
8.669,104.314,1410.0
8.679,104.28,1410.0
8.689,119.915,1380.0
8.699,119.983,1380.0
8.709,120.051,1380.0
8.719,104.45,1410.0
8.729,104.416,1410.0
8.739,104.382,1410.0
8.749,120.017,1380.0
8.759,104.416,1410.0
8.769,120.051,1380.0
8.779,120.119,1380.0
9.049,104.926,1410.0
9.059,120.561,1380.0
9.069,120.629,1380.0
9.079,105.028,1410.0
9.089,120.663,1380.0
9.099,105.062,1410.0
9.109,120.697,1380.0
9.119,105.096,1410.0
9.129,105.062,1410.0
9.139,120.697,1380.0
9.149,105.096,1410.0
9.159,120.731,1380.0
9.169,105.13,1410.0
9.179,120.765,1380.0
9.189,120.833,1380.0
9.199,105.232,1410.0
9.209,105.198,1410.0
9.219,105.164,1410.0
9.229,120.799,1380.0
9.239,105.198,1410.0
9.249,120.833,1380.0
9.26,105.232,1410.0
9.269,120.867,1380.0
9.279,120.935,1380.0
9.289,105.334,1410.0
9.299,105.3,1410.0
9.309,105.266,1410.0
9.319,120.901,1380.0
9.329,105.3,1410.0
9.339,120.935,1380.0
9.349,121.003,1380.0
9.359,121.071,1380.0
9.369,105.47,1410.0
9.379,105.436,1410.0
9.389,105.402,1410.0
9.399,105.368,1410.0
9.409,121.003,1380.0
9.419,105.402,1410.0
9.43,121.037,1380.0
9.439,121.105,1380.0
9.449,105.504,1410.0
9.459,105.47,1410.0
9.469,105.436,1410.0
9.479,121.071,1380.0
9.489,105.47,1410.0
9.499,121.105,1380.0
9.509,105.504,1410.0
9.519,121.139,1380.0
9.529,105.538,1410.0
9.539,105.504,1410.0
9.549,121.139,1380.0
9.559,105.538,1410.0
9.569,121.173,1380.0
9.579,105.572,1410.0
9.589,105.538,1410.0
9.6,121.173,1380.0
9.609,121.241,1380.0
9.619,105.64,1410.0
9.629,105.606,1410.0
9.639,105.572,1410.0
9.649,121.207,1380.0
9.659,121.275,1380.0
9.669,105.674,1410.0
9.679,105.64,1410.0
9.689,121.275,1380.0
9.699,121.343,1380.0
9.709,105.742,1410.0
9.719,105.708,1410.0
9.729,105.674,1410.0
9.739,121.309,1380.0
9.749,121.377,1380.0
9.759,105.776,1410.0
9.769,105.742,1410.0
9.779,105.708,1410.0
9.789,121.343,1380.0
9.799,121.411,1380.0
9.809,105.81,1410.0
9.819,105.776,1410.0
9.829,105.742,1410.0
9.839,121.377,1380.0
9.849,105.776,1410.0
9.859,121.411,1380.0
9.869,121.479,1380.0
9.879,105.878,1410.0
9.889,105.844,1410.0
9.9,105.81,1410.0
9.909,121.445,1380.0
9.919,105.845,1410.0
9.929,121.48,1380.0
9.939,105.879,1410.0
9.949,121.514,1380.0
9.959,105.913,1410.0
9.969,121.548,1380.0
9.979,105.947,1410.0
9.989,105.913,1410.0
9.999,105.879,1410.0
10.009,121.514,1380.0
10.019,121.582,1380.0
10.029,105.981,1410.0
10.039,105.947,1410.0
10.049,121.582,1380.0
10.059,105.981,1410.0
10.07,105.947,1410.0
10.079,121.582,1380.0
10.089,121.65,1380.0
10.099,106.049,1410.0
10.109,106.015,1410.0
10.119,105.981,1410.0
10.129,121.616,1380.0
10.139,121.684,1380.0
10.149,106.083,1410.0
10.159,106.049,1410.0
10.169,121.684,1380.0
10.179,106.083,1410.0
10.189,106.049,1410.0
10.199,121.684,1380.0
10.209,106.083,1410.0
10.219,121.718,1380.0
10.229,106.117,1410.0
10.24,121.752,1380.0
10.249,106.151,1410.0
10.259,106.117,1410.0
10.269,121.752,1380.0
10.279,106.151,1410.0
10.289,106.117,1410.0
10.299,121.752,1380.0
10.309,121.82,1380.0
10.319,106.219,1410.0
10.329,106.185,1410.0
10.339,106.151,1410.0
10.349,106.117,1410.0
10.359,121.752,1380.0
10.369,106.151,1410.0
10.379,121.786,1380.0
10.389,121.854,1380.0
10.399,106.253,1410.0
10.409,106.219,1410.0
10.419,106.185,1410.0
10.429,106.151,1410.0
10.439,121.786,1380.0
10.449,106.185,1410.0
10.459,121.82,1380.0
10.469,106.219,1410.0
10.479,121.854,1380.0
10.489,106.253,1410.0
10.499,106.219,1410.0
10.509,121.854,1380.0
10.519,106.253,1410.0
10.529,106.219,1410.0
10.54,121.854,1380.0
10.549,121.922,1380.0
10.559,106.321,1410.0
10.569,106.287,1410.0
10.579,121.922,1380.0
10.589,106.321,1410.0
10.599,106.287,1410.0
10.609,121.922,1380.0
10.619,121.99,1380.0
10.629,106.389,1410.0
10.639,106.355,1410.0
10.649,121.99,1380.0
10.659,106.389,1410.0
10.669,106.355,1410.0
10.679,121.99,1380.0
10.689,106.389,1410.0
10.699,122.024,1380.0
10.71,106.423,1410.0
10.719,106.389,1410.0
10.729,122.024,1380.0
10.739,106.423,1410.0
10.749,122.058,1380.0
10.759,106.457,1410.0
10.769,106.423,1410.0
10.779,122.058,1380.0
10.789,106.457,1410.0
10.799,106.423,1410.0
10.809,122.058,1380.0
10.819,122.126,1380.0
10.829,106.525,1410.0
10.839,106.491,1410.0
10.849,106.457,1410.0
10.859,106.423,1410.0
10.869,122.058,1380.0
10.88,106.457,1410.0
10.889,106.423,1410.0
10.899,122.058,1380.0
10.909,122.126,1380.0
10.919,106.525,1410.0
10.929,106.491,1410.0
10.939,106.457,1410.0
10.949,122.092,1380.0
10.959,106.491,1410.0
10.969,106.457,1410.0
10.979,122.092,1380.0
10.989,106.491,1410.0
10.999,122.126,1380.0
11.009,106.525,1410.0
11.019,106.491,1410.0
11.029,122.126,1380.0
11.039,106.525,1410.0
11.319,106.695,1410.0
11.329,106.661,1410.0
11.339,106.627,1410.0
11.35,106.593,1410.0
11.359,122.228,1380.0
11.369,106.627,1410.0
11.379,122.262,1380.0
11.389,106.661,1410.0
11.399,122.296,1380.0
11.409,106.695,1410.0
11.419,106.661,1410.0
11.429,106.627,1410.0
11.439,122.262,1380.0
11.449,106.661,1410.0
11.459,106.627,1410.0
11.469,122.262,1380.0
11.479,122.33,1380.0
11.489,106.729,1410.0
11.499,91.026,1440.0
11.509,122.228,1380.0
11.52,106.627,1410.0
11.529,122.262,1380.0
11.539,106.661,1410.0
11.549,122.296,1380.0
11.559,106.695,1410.0
11.569,106.661,1410.0
11.579,122.296,1380.0
11.589,106.695,1410.0
11.599,106.661,1410.0
11.609,122.296,1380.0
11.619,106.695,1410.0
11.629,122.33,1380.0
11.639,106.729,1410.0
11.649,122.364,1380.0
11.659,106.763,1410.0
11.669,106.729,1410.0
11.679,106.695,1410.0
11.689,122.33,1380.0
11.699,122.398,1380.0
11.709,106.797,1410.0
11.719,106.763,1410.0
11.729,106.729,1410.0
11.739,122.364,1380.0
11.749,106.763,1410.0
11.759,122.398,1380.0
11.769,106.797,1410.0
11.779,122.432,1380.0
11.789,106.831,1410.0
11.799,106.797,1410.0
11.809,106.763,1410.0
11.82,122.398,1380.0
11.829,122.466,1380.0
