tempo,erro,velocidade
19.6,0.03,1471.44
19.62,0.03,1485.01
19.64,0.03,1470.31
19.66,0.03,1471.15
19.68,0.03,1471.15
19.7,0.03,1472.57
19.72,0.03,1470.31
19.74,0.03,1472.0
19.76,0.03,1471.15
19.78,0.03,1484.15
19.8,0.03,1470.59
19.83,0.03,1471.44
19.85,0.03,1472.29
19.87,0.03,1471.15
19.89,0.03,1471.72
19.91,0.03,1471.15
19.93,0.03,1470.31
19.95,0.03,1471.15
19.97,0.03,1486.43
19.99,0.03,1470.31
20.01,0.04,1456.73
20.03,0.03,1485.58
20.05,0.03,1472.0
20.07,0.03,1471.15
20.1,0.03,1471.15
20.12,0.03,1483.58
20.14,0.03,1472.0
20.16,0.03,1470.59
20.18,0.03,1472.0
20.2,0.03,1485.01
20.22,0.03,1471.15
20.24,0.03,1470.87
20.26,0.03,1472.85
20.28,0.03,1484.72
20.3,0.03,1471.72
20.32,0.03,1471.44
20.34,0.03,1484.15
20.37,0.03,1471.72
20.39,0.03,1485.01
20.41,0.03,1471.72
20.43,0.03,1471.15
20.45,0.03,1486.43
20.47,0.03,1471.15
20.49,0.03,1470.02
20.51,0.03,1485.86
20.53,0.03,1471.15
20.55,0.03,1471.15
20.57,0.03,1471.15
20.59,0.03,1484.72
20.62,0.03,1472.85
20.64,0.03,1470.59
20.66,0.03,1470.87
20.68,0.03,1472.0
20.7,0.03,1471.15
20.72,0.03,1471.15
20.74,0.03,1470.31
20.76,0.03,1472.0
20.78,0.03,1471.15
20.8,0.03,1470.87
20.82,0.04,1468.89
20.84,0.03,1472.85
20.87,0.03,1471.15
20.89,0.03,1470.59
20.91,0.04,1458.13
20.93,0.03,1484.72
20.95,0.04,1456.73
20.97,0.03,1471.15
20.99,0.04,1456.73
21.01,0.03,1472.0
21.03,0.03,1470.02
21.05,0.04,1457.85
21.07,0.04,1456.73
21.09,0.03,1470.31
21.11,0.04,1456.73
21.14,0.04,1456.73
21.16,0.04,1457.01
21.18,0.03,1470.87
21.2,0.04,1457.57
21.22,0.04,1455.89
21.24,0.03,1470.59
21.26,0.04,1458.13
21.28,0.03,1469.74
21.3,0.04,1457.29
21.32,0.04,1457.57
21.34,0.03,1470.31
21.36,0.04,1456.73
21.39,0.04,1457.57
21.41,0.03,1469.74
21.43,0.03,1471.15
21.45,0.04,1458.13
21.47,0.03,1470.87
21.49,0.04,1456.45
21.51,0.03,1470.87
21.53,0.04,1456.73
21.55,0.03,1471.15
21.57,0.04,1456.73
21.59,0.03,1472.0
21.61,0.03,1469.74
21.64,0.04,1457.29
21.66,0.04,1456.73
21.68,0.03,1471.15
21.7,0.03,1470.87
21.72,0.04,1457.85
21.74,0.03,1471.15
21.76,0.03,1471.15
21.78,0.03,1470.31
21.8,0.03,1470.59
