tempo,RPM
16.389,990.0
16.399,990.0
16.409,990.0
16.419,1020.0
16.429,1020.0
16.439,990.0
16.449,990.0
16.459,1020.0
16.47,990.0
16.479,990.0
16.489,1020.0
16.499,990.0
16.509,990.0
16.519,990.0
16.529,990.0
16.539,1020.0
16.549,1020.0
16.559,990.0
16.569,1020.0
16.579,990.0
16.589,990.0
16.599,990.0
16.609,990.0
16.619,1020.0
16.629,990.0
16.64,990.0
16.649,1020.0
16.659,990.0
16.669,990.0
16.679,1020.0
16.689,1020.0
16.699,990.0
16.709,990.0
16.719,990.0
16.729,1020.0
16.739,990.0
16.749,1020.0
16.759,990.0
16.769,960.0
16.779,1020.0
16.789,1020.0
16.799,1020.0
16.809,990.0
16.819,990.0
16.829,990.0
16.839,1020.0
16.849,990.0
16.859,990.0
16.869,1020.0
16.879,990.0
16.889,990.0
16.899,990.0
16.909,1020.0
16.919,1020.0
16.929,990.0
16.94,990.0
16.949,990.0
16.959,1020.0
16.969,990.0
16.979,1020.0
16.989,990.0
16.999,990.0
17.009,990.0
17.019,990.0
17.029,1020.0
17.039,1020.0
17.049,990.0
17.059,990.0
17.069,990.0
17.079,1020.0
17.089,990.0
17.099,1020.0
17.11,990.0
17.119,990.0
17.129,990.0
17.139,990.0
17.149,1020.0
17.159,1020.0
17.169,990.0
17.179,990.0
17.189,990.0
17.199,1020.0
17.209,990.0
17.219,1020.0
17.229,990.0
17.239,990.0
17.249,990.0
17.259,990.0
17.269,1020.0
17.28,1020.0
17.289,990.0
17.299,990.0
17.309,990.0
17.319,1020.0
17.329,1020.0
17.339,990.0
17.349,990.0
17.359,990.0
17.369,990.0
17.379,990.0
17.389,1020.0
17.399,1020.0
17.409,1020.0
17.419,990.0
17.429,960.0
17.439,1020.0
17.449,1020.0
17.459,990.0
17.469,1020.0
17.479,990.0
17.489,960.0
17.499,1020.0
17.509,1020.0
17.519,990.0
17.529,1020.0
17.539,990.0
17.549,990.0
17.559,1020.0
17.569,990.0
17.58,1020.0
17.589,990.0
17.599,990.0
17.609,990.0
17.619,990.0
17.629,1020.0
17.639,1020.0
17.649,990.0
17.659,990.0
17.669,990.0
17.679,1020.0
17.689,990.0
17.699,1020.0
17.709,990.0
17.719,990.0
17.729,990.0
17.739,1020.0
17.75,990.0
17.759,1020.0
17.769,990.0
17.779,990.0
17.789,1020.0
18.069,990.0
18.079,990.0
18.089,990.0
18.099,990.0
18.109,1020.0
18.119,990.0
18.129,1020.0
18.139,990.0
18.149,1020.0
18.159,990.0
18.169,990.0
18.179,990.0
18.189,1020.0
18.199,990.0
18.209,990.0
18.22,1020.0
18.229,990.0
18.239,990.0
18.249,1020.0
18.259,990.0
18.269,1020.0
18.279,990.0
18.289,990.0
18.299,990.0
18.309,1020.0
18.319,990.0
18.329,990.0
18.339,1020.0
18.349,990.0
18.359,1020.0
18.369,990.0
18.379,990.0
18.39,990.0
18.399,1020.0
18.409,1020.0
18.419,990.0
18.429,990.0
18.439,990.0
18.449,990.0
18.459,990.0
18.469,1020.0
18.479,1020.0
18.489,1020.0
18.499,960.0
18.509,990.0
18.519,1020.0
18.529,990.0
18.539,1020.0
18.549,990.0
18.56,990.0
18.569,1020.0
18.579,990.0
18.589,990.0
18.599,990.0
18.609,1020.0
18.619,1020.0
18.629,990.0
18.639,990.0
18.649,990.0
18.659,1020.0
18.669,990.0
18.679,990.0
18.689,990.0
18.699,1020.0
18.709,990.0
18.719,1020.0
18.729,990.0
18.739,990.0
18.749,1020.0
18.759,990.0
18.769,990.0
18.779,1020.0
18.789,990.0
18.799,990.0
18.809,990.0
18.819,1020.0
18.829,990.0
18.839,1020.0
18.849,1020.0
18.86,990.0
18.869,960.0
18.879,1020.0
18.889,1020.0
18.899,990.0
18.909,990.0
18.919,990.0
18.929,990.0
18.939,1020.0
18.949,990.0
18.959,1020.0
