tempo,PWM,RPM
6.009,101.316,1380.0
6.019,117.053,1350.0
6.029,101.554,1380.0
6.039,101.622,1380.0
6.049,101.69,1380.0
6.06,101.758,1380.0
6.069,101.826,1380.0
6.079,101.894,1380.0
6.089,117.631,1350.0
6.099,102.132,1380.0
6.109,102.2,1380.0
6.119,102.268,1380.0
6.129,118.005,1350.0
6.139,102.506,1380.0
6.149,86.905,1410.0
6.159,102.54,1380.0
6.169,118.277,1350.0
6.179,102.778,1380.0
6.189,118.515,1350.0
6.199,103.016,1380.0
6.209,87.415,1410.0
6.219,103.05,1380.0
6.23,118.787,1350.0
6.239,103.288,1380.0
6.249,87.687,1410.0
6.259,118.991,1350.0
6.269,103.492,1380.0
6.279,103.56,1380.0
6.289,103.628,1380.0
6.299,119.365,1350.0
6.309,103.866,1380.0
6.319,88.265,1410.0
6.329,103.9,1380.0
6.339,103.968,1380.0
6.349,119.705,1350.0
6.359,104.206,1380.0
6.369,104.274,1380.0
6.379,104.342,1380.0
6.389,104.41,1380.0
6.4,104.478,1380.0
6.409,88.877,1410.0
6.419,104.512,1380.0
6.429,120.249,1350.0
6.439,104.75,1380.0
6.449,104.818,1380.0
6.459,104.886,1380.0
6.469,104.954,1380.0
6.479,105.022,1380.0
6.489,105.09,1380.0
6.499,105.158,1380.0
6.509,89.557,1410.0
6.519,105.192,1380.0
6.789,107.028,1380.0
6.799,107.096,1380.0
6.809,107.164,1380.0
6.819,107.232,1380.0
6.829,91.631,1410.0
6.839,107.266,1380.0
6.849,123.003,1350.0
6.859,91.835,1410.0
6.87,107.47,1380.0
6.879,107.538,1380.0
6.889,107.606,1380.0
6.899,92.005,1410.0
6.909,107.64,1380.0
6.919,92.039,1410.0
6.929,123.343,1350.0
6.939,92.175,1410.0
6.949,107.81,1380.0
6.959,107.878,1380.0
6.969,107.946,1380.0
6.979,92.345,1410.0
6.989,107.98,1380.0
6.999,108.048,1380.0
7.009,108.116,1380.0
7.019,92.515,1410.0
7.029,108.15,1380.0
7.04,108.218,1380.0
7.049,108.286,1380.0
7.059,108.354,1380.0
7.069,108.422,1380.0
7.079,92.821,1410.0
7.089,92.787,1410.0
7.099,108.422,1380.0
7.109,108.49,1380.0
7.119,108.558,1380.0
7.129,108.626,1380.0
7.139,108.694,1380.0
7.149,93.094,1410.0
7.159,108.729,1380.0
7.169,108.797,1380.0
7.179,93.196,1410.0
7.189,108.831,1380.0
7.199,108.899,1380.0
7.209,108.967,1380.0
7.219,109.035,1380.0
7.229,93.434,1410.0
7.239,109.069,1380.0
7.249,109.137,1380.0
7.259,93.536,1410.0
7.269,109.171,1380.0
7.279,109.239,1380.0
7.289,93.638,1410.0
7.299,109.273,1380.0
7.309,109.341,1380.0
7.319,109.409,1380.0
7.329,93.808,1410.0
7.34,93.774,1410.0
7.349,109.409,1380.0
7.359,109.477,1380.0
7.369,109.545,1380.0
7.379,109.613,1380.0
7.389,94.012,1410.0
7.399,109.647,1380.0
7.409,109.715,1380.0
7.419,94.114,1410.0
7.429,109.749,1380.0
7.439,109.817,1380.0
7.449,94.216,1410.0
7.459,109.851,1380.0
7.469,109.919,1380.0
7.479,109.987,1380.0
7.489,94.386,1410.0
7.499,110.021,1380.0
7.51,94.42,1410.0
7.519,110.055,1380.0
7.529,110.123,1380.0
7.539,110.191,1380.0
7.549,94.59,1410.0
7.559,110.225,1380.0
7.569,110.293,1380.0
7.579,94.692,1410.0
