PWM,RPM
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
104.94,1410.0
120.575,1380.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
104.974,1410.0
120.609,1380.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.008,1410.0
120.643,1380.0
105.042,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
120.678,1380.0
105.077,1410.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
120.678,1380.0
105.077,1410.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
120.678,1380.0
89.408,1440.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
104.975,1410.0
120.61,1380.0
120.678,1380.0
89.408,1440.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
120.576,1380.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
120.678,1380.0
105.077,1410.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
120.712,1380.0
89.442,1440.0
104.975,1410.0
120.61,1380.0
120.678,1380.0
105.077,1410.0
105.043,1410.0
120.678,1380.0
105.077,1410.0
