tensao
Tempo (ms): 38788 | Velocidade (RPM): 0.00
Tempo (ms): 38889 | Velocidade (RPM): 0.00
Tempo (ms): 38989 | Velocidade (RPM): 0.00
Tempo (ms): 39091 | Velocidade (RPM): 8.91
Tempo (ms): 39192 | Velocidade (RPM): 14.83
Tempo (ms): 39293 | Velocidade (RPM): 287.54
Tempo (ms): 39395 | Velocidade (RPM): 752.52
Tempo (ms): 39495 | Velocidade (RPM): 1439.57
Tempo (ms): 39597 | Velocidade (RPM): 2470.71
Tempo (ms): 39699 | Velocidade (RPM): 3538.49
Tempo (ms): 39800 | Velocidade (RPM): 4674.57
Tempo (ms): 39902 | Velocidade (RPM): 5802.39
Tempo (ms): 40003 | Velocidade (RPM): 6926.03
Tempo (ms): 40105 | Velocidade (RPM): 7972.33
Tempo (ms): 40207 | Velocidade (RPM): 8883.48
Tempo (ms): 40309 | Velocidade (RPM): 9699.44
Tempo (ms): 40411 | Velocidade (RPM): 10410.21
Tempo (ms): 40513 | Velocidade (RPM): 11040.98
Tempo (ms): 40615 | Velocidade (RPM): 11566.67
Tempo (ms): 40718 | Velocidade (RPM): 11952.74
Tempo (ms): 40820 | Velocidade (RPM): 12290.47
Tempo (ms): 40923 | Velocidade (RPM): 12537.58
Tempo (ms): 41025 | Velocidade (RPM): 12681.99
Tempo (ms): 41127 | Velocidade (RPM): 12743.97
Tempo (ms): 41230 | Velocidade (RPM): 12763.47
Tempo (ms): 41332 | Velocidade (RPM): 12714.69
Tempo (ms): 41435 | Velocidade (RPM): 12586.86
Tempo (ms): 41537 | Velocidade (RPM): 12355.04
Tempo (ms): 41639 | Velocidade (RPM): 12083.45
Tempo (ms): 41742 | Velocidade (RPM): 11731.94
Tempo (ms): 41844 | Velocidade (RPM): 11287.55
Tempo (ms): 41947 | Velocidade (RPM): 10731.05
Tempo (ms): 42049 | Velocidade (RPM): 10074.01
Tempo (ms): 42150 | Velocidade (RPM): 9308.11
Tempo (ms): 42253 | Velocidade (RPM): 8399.74
Tempo (ms): 42354 | Velocidade (RPM): 7324.91
Tempo (ms): 42456 | Velocidade (RPM): 6116.25
Tempo (ms): 42558 | Velocidade (RPM): 4807.09
Tempo (ms): 42659 | Velocidade (RPM): 3419.84
Tempo (ms): 42761 | Velocidade (RPM): 1931.80
Tempo (ms): 42862 | Velocidade (RPM): 449.99
Tempo (ms): 42963 | Velocidade (RPM): 0.00
Tempo (ms): 43064 | Velocidade (RPM): 0.00
Tempo (ms): 43165 | Velocidade (RPM): 0.00
Tempo (ms): 43267 | Velocidade (RPM): 0.00
Tempo (ms): 43367 | Velocidade (RPM): 0.00
Tempo (ms): 43468 | Velocidade (RPM): 0.00
Tempo (ms): 43570 | Velocidade (RPM): 0.00
Tempo (ms): 43670 | Velocidade (RPM): 0.00
Tempo (ms): 43771 | Velocidade (RPM): 2.97
Tempo (ms): 43873 | Velocidade (RPM): 0.00
Tempo (ms): 43973 | Velocidade (RPM): 0.00
Tempo (ms): 44075 | Velocidade (RPM): 0.00
Tempo (ms): 44176 | Velocidade (RPM): 0.00
Tempo (ms): 44277 | Velocidade (RPM): 0.00
Tempo (ms): 44378 | Velocidade (RPM): 0.00
Tempo (ms): 44479 | Velocidade (RPM): 0.00
Tempo (ms): 44580 | Velocidade (RPM): 0.00
Tempo (ms): 44681 | Velocidade (RPM): 0.00
Tempo (ms): 44782 | Velocidade (RPM): 0.00
Tempo (ms): 44883 | Velocidade (RPM): 0.00
Tempo (ms): 44984 | Velocidade (RPM): 0.00
